id,category,type,en,fr
SCI_B_13,science,open,How would you explain the importance of biodiversity?,Comment expliqueriez-vous l’importance de la biodiversité ?
SCI_06,science,factual,What causes earthquakes?,Qu’est-ce qui provoque les tremblements de terre ?
HLT_B_09,health_and_habits,open,How can technology support personal health?,Comment la technologie peut-elle soutenir la santé personnelle ?
GEO_06,travels_and_geography,factual,What is the equator?,Qu’est-ce que l’équateur ?
TEC_B_01,technology,open,How should AI be regulated?,Comment l’IA devrait-elle être réglementée ?
JOB_B_03,jobs_and_workplace,open,How should managers support employee growth?,Comment les gestionnaires devraient-ils soutenir la croissance des employés ?
HLT_B_13,health_and_habits,open,What strategies build resilience?,Quelles stratégies renforcent la résilience ?
JOB_B_11,jobs_and_workplace,open,How can remote teams stay connected?,Comment les équipes à distance peuvent-elles rester connectées ?
HIS_02,history,factual,Why do empires rise and fall?,Pourquoi les empires s’élèvent-ils et s’effondrent-ils ?
TEC_B_13,technology,open,How can digital literacy be improved?,Comment améliorer la littératie numérique ?
FOO_02,food_and_drink,factual,How does yeast make bread rise?,Comment la levure fait-elle lever le pain ?
GEO_04,travels_and_geography,factual,What is a peninsula?,Qu’est-ce qu’une péninsule ?
HLT_14,health_and_habits,factual,What are the benefits of walking daily?,Quels sont les bénéfices de marcher chaque jour ?
FOO_B_01,food_and_drink,open,How would you create a healthy weekly meal plan?,Comment élaboreriez-vous un plan de repas sain pour la semaine ?
GEO_11,travels_and_geography,factual,What is a time zone?,Qu’est-ce qu’un fuseau horaire ?
JOB_B_13,jobs_and_workplace,open,What motivates employees most effectively?,Qu’est-ce qui motive le plus efficacement les employés ?
LIT_13,literature,factual,What is a theme in literature?,Qu’est-ce qu’un thème en littérature ?
HLT_B_18,health_and_habits,open,How should nutrition be personalized?,Comment la nutrition devrait-elle être personnalisée ?
HIS_18,history,factual,Why are historical archives important?,Pourquoi les archives historiques sont-elles importantes ?
FOO_18,food_and_drink,factual,What is food sustainability?,Qu’est-ce que la durabilité alimentaire ?
LIT_16,literature,factual,What is satire?,Qu’est-ce que la satire ?
FOO_03,food_and_drink,factual,What is a balanced diet?,Qu’est-ce qu’une alimentation équilibrée ?
TEC_B_20,technology,open,How can technology strengthen democracy?,Comment la technologie peut-elle renforcer la démocratie ?
HLT_B_15,health_and_habits,open,How can individuals stay active in sedentary jobs?,Comment rester actif dans un emploi sédentaire ?
HIS_08,history,factual,What was the Silk Road?,Qu’était la Route de la soie ?
HIS_13,history,factual,What is the Cold War?,Qu’est-ce que la Guerre froide ?
LIT_04,literature,factual,How does character development work?,Comment fonctionne le développement des personnages ?
SCI_B_01,science,open,How would you explain climate change to a child?,Comment expliqueriez-vous le changement climatique à un enfant ?
LIT_B_20,literature,open,Why do people identify with fictional characters?,Pourquoi les gens s’identifient-ils aux personnages fictifs ?
FOO_B_04,food_and_drink,open,How should food waste be reduced?,Comment réduire le gaspillage alimentaire ?
LIT_B_01,literature,open,How would you describe your favorite book to a friend?,Comment décririez-vous votre livre préféré à un ami ?
HIS_10,history,factual,What is a constitution?,Qu’est-ce qu’une constitution ?
SCI_10,science,factual,What is DNA and what does it do?,Qu’est-ce que l’ADN et à quoi sert-il ?
