id,en,fr
SCI_B_01,How would you explain climate change to a child?,Comment expliqueriez-vous le changement climatique à un enfant ?
SCI_B_02,"If you had to design a simple experiment to test gravity, what would you do?","Si vous deviez concevoir une expérience simple pour tester la gravité, que feriez-vous ?"
SCI_B_03,How should scientists communicate uncertainty to the public?,Comment les scientifiques devraient-ils communiquer l’incertitude au public ?
SCI_B_04,What scientific topic do you think is most misunderstood? Why?,Quel sujet scientifique est le plus mal compris selon vous ? Pourquoi ?
SCI_B_05,How can science education be improved?,Comment peut-on améliorer l’enseignement des sciences ?
SCI_B_06,"If you discovered a new element, how would you name it?","Si vous découvriez un nouvel élément, comment le nommeriez-vous ?"
SCI_B_07,How should society respond to emerging diseases?,Comment la société devrait-elle réagir face aux nouvelles maladies ?
SCI_B_08,What ethical issues arise in genetic engineering?,Quels enjeux éthiques soulève le génie génétique ?
SCI_B_09,How would you encourage young people to pursue science?,Comment encourageriez-vous les jeunes à poursuivre des études scientifiques ?
SCI_B_10,What scientific breakthrough would you prioritize funding?,Quelle avancée scientifique prioriseriez-vous pour un financement ?
SCI_B_11,How can citizens contribute to scientific research?,Comment les citoyens peuvent-ils contribuer à la recherche scientifique ?
SCI_B_12,What risks should be considered before deploying new technology?,Quels risques faut-il considérer avant de déployer une nouvelle technologie ?
SCI_B_13,How would you explain the importance of biodiversity?,Comment expliqueriez-vous l’importance de la biodiversité ?
SCI_B_14,What responsibility do scientists have toward society?,Quelle responsabilité les scientifiques ont-ils envers la société ?
SCI_B_15,How can misinformation about science be addressed?,Comment lutter contre la désinformation scientifique ?
SCI_B_16,"If you could solve one scientific problem, which would it be?","Si vous pouviez résoudre un problème scientifique, lequel serait-ce ?"
SCI_B_17,How should research priorities be decided?,Comment les priorités de recherche devraient-elles être décidées ?
SCI_B_18,What role should science play in policy-making?,Quel rôle la science devrait-elle jouer dans l’élaboration des politiques ?
SCI_B_19,How can we make science more accessible to everyone?,Comment rendre la science plus accessible à tous ?
SCI_B_20,What personal habit supports scientific thinking?,Quelle habitude personnelle favorise la pensée scientifique ?
LIT_B_01,How would you describe your favorite book to a friend?,Comment décririez-vous votre livre préféré à un ami ?
LIT_B_02,What makes a story emotionally powerful?,Qu’est-ce qui rend une histoire émotionnellement forte ?
LIT_B_03,How should difficult themes be handled in literature?,Comment les thèmes difficiles devraient-ils être abordés en littérature ?
LIT_B_04,"If you were writing a novel, what would it be about?","Si vous écriviez un roman, de quoi parlerait-il ?"
LIT_B_05,How does reading influence empathy?,Comment la lecture influence-t-elle l’empathie ?
LIT_B_06,What role does storytelling play in society?,Quel rôle le récit joue-t-il dans la société ?
