id,category,type,en,fr
SCI_01,science,factual,What causes the seasons to change?,Qu’est-ce qui provoque le changement des saisons ?
SCI_02,science,factual,Why does ice float on water?,Pourquoi la glace flotte-t-elle sur l’eau ?
SCI_03,science,factual,How does vaccination protect against disease?,Comment la vaccination protège-t-elle contre les maladies ?
SCI_04,science,factual,What is the difference between speed and velocity?,Quelle est la différence entre la vitesse et la vélocité ?
SCI_05,science,factual,How do plants convert sunlight into energy?,Comment les plantes convertissent-elles la lumière du soleil en énergie ?
SCI_06,science,factual,What causes earthquakes?,Qu’est-ce qui provoque les tremblements de terre ?
SCI_07,science,factual,Why is the sky blue?,Pourquoi le ciel est-il bleu ?
SCI_08,science,factual,What is the greenhouse effect?,Qu’est-ce que l’effet de serre ?
SCI_09,science,factual,How does a battery store energy?,Comment une batterie stocke-t-elle l’énergie ?
SCI_10,science,factual,What is DNA and what does it do?,Qu’est-ce que l’ADN et à quoi sert-il ?
SCI_11,science,factual,Why do metals expand when heated?,Pourquoi les métaux se dilatent-ils lorsqu’on les chauffe ?
SCI_12,science,factual,How does the human immune system work?,Comment fonctionne le système immunitaire humain ?
SCI_13,science,factual,What is gravity?,Qu’est-ce que la gravité ?
SCI_14,science,factual,What causes tides in the ocean?,Qu’est-ce qui provoque les marées dans l’océan ?
SCI_15,science,factual,How do antibiotics work?,Comment fonctionnent les antibiotiques ?
SCI_16,science,factual,What is the difference between mass and weight?,Quelle est la différence entre la masse et le poids ?
SCI_17,science,factual,How does the internet transmit data?,Comment Internet transmet-il les données ?
SCI_18,science,factual,Why do objects fall toward Earth?,Pourquoi les objets tombent-ils vers la Terre ?
SCI_19,science,factual,What is an ecosystem?,Qu’est-ce qu’un écosystème ?
SCI_20,science,factual,How does electricity flow through a circuit?,Comment l’électricité circule-t-elle dans un circuit ?
LIT_01,literature,factual,What defines a novel?,Qu’est-ce qui définit un roman ?
LIT_02,literature,factual,What is the role of a narrator in a story?,Quel est le rôle du narrateur dans une histoire ?
LIT_03,literature,factual,What is symbolism in literature?,Qu’est-ce que le symbolisme en littérature ?
LIT_04,literature,factual,How does character development work?,Comment fonctionne le développement des personnages ?
LIT_05,literature,factual,What is the difference between prose and poetry?,Quelle est la différence entre la prose et la poésie ?
LIT_06,literature,factual,What is a metaphor?,Qu’est-ce qu’une métaphore ?
